Nachname;Vorname;Geburtstag;Klasse
2013;Juni22;2013-06-06;2b
2013;Juni23;2013-06-12;2b
2013;Juni24;2013-06-18;2b
2013;Juni25;2013-06-24;2b
2013;Juni26;2013-06-30;2b
2013;Juli26;2013-07-06;2c
2013;Juli27;2013-07-12;2c
2013;Juli28;2013-07-18;2c
2013;Juli29;2013-07-24;2c
2013;Juli30;2013-07-30;2c
2013;August31;2013-08-05;2c
2013;August32;2013-08-11;2c
2013;August32;2013-08-17;2c
2013;August33;2013-08-23;2c
2013;August34;2013-08-29;2c
2013;September35;2013-09-04;2c
2013;September36;2013-09-10;2c
2013;September37;2013-09-16;2c
2013;September38;2013-09-22;2c
2013;September38;2013-09-28;2c
2012;Januar02;2012-01-08;3a
2012;Januar02;2012-01-14;3a
2012;Januar03;2012-01-20;3a
2012;Januar04;2012-01-26;3a
2012;Februar05;2012-02-01;3a
2012;Februar06;2012-02-07;3a
2012;Februar07;2012-02-13;3a
2012;Februar08;2012-02-19;3a
2012;Februar08;2012-02-25;3a
2012;März09;2012-03-02;3a
2012;März10;2012-03-08;3a
2012;März11;2012-03-14;3a
2012;März12;2012-03-20;3a
2012;März13;2012-03-26;3a
2012;April14;2012-04-01;3a
2012;April14;2012-04-07;3b
2012;April15;2012-04-13;3b
2012;April16;2012-04-19;3b
2012;April17;2012-04-25;3b
2012;Mai18;2012-05-01;3b
2012;Mai19;2012-05-07;3b
2012;Mai20;2012-05-13;3b
2012;Mai20;2012-05-19;3b
2012;Mai21;2012-05-25;3b
2012;Mai22;2012-05-31;3b
2012;Juni23;2012-06-06;3b
2012;Juni24;2012-06-12;3b
2012;Juni25;2012-06-18;3b
2012;Juni26;2012-06-24;3b
2012;Juni26;2012-06-30;3b
2012;Juli27;2012-07-06;3c
2012;Juli28;2012-07-12;3c
2012;Juli29;2012-07-18;3c
2012;Juli30;2012-07-24;3c
2012;Juli31;2012-07-30;3c
2012;August32;2012-08-05;3c
2012;August32;2012-08-11;3c
2012;August33;2012-08-17;3c
2012;August34;2012-08-23;3c
2012;August35;2012-08-29;3c
2012;September36;2012-09-04;3c
2012;September37;2012-09-10;3c
2012;September38;2012-09-16;3c
2012;September38;2012-09-22;3c
2012;September39;2012-09-28;3c
2011;Januar01;2011-01-08;4a
2011;Januar02;2011-01-14;4a
2011;Januar03;2011-01-20;4a
2011;Januar04;2011-01-26;4a
2011;Februar05;2011-02-01;4a
2011;Februar06;2011-02-07;4a
2011;Februar07;2011-02-13;4a
2011;Februar07;2011-02-19;4a
2011;Februar08;2011-02-25;4a
2011;März09;2011-03-03;4a
2011;März10;2011-03-09;4a
2011;März11;2011-03-15;4a
2011;März12;2011-03-21;4a
2011;März13;2011-03-27;4a
2011;April13;2011-04-02;4a
2011;April14;2011-04-08;4b
2011;April15;2011-04-14;4b
2011;April16;2011-04-20;4b
2011;April17;2011-04-26;4b
2011;Mai18;2011-05-02;4b
2011;Mai19;2011-05-08;4b
2011;Mai19;2011-05-14;4b
2011;Mai20;2011-05-20;4b
2011;Mai21;2011-05-26;4b
2011;Juni22;2011-06-01;4b
2011;Juni23;2011-06-07;4b
2011;Juni24;2011-06-13;4b
2011;Juni25;2011-06-19;4b
2011;Juni25;2011-06-25;4b
2011;Juli26;2011-07-01;4b
2011;Juli27;2011-07-07;4c
2011;Juli28;2011-07-13;4c
2011;Juli29;2011-07-19;4c
2011;Juli30;2011-07-25;4c
2011;Juli31;2011-07-31;4c
2011;August31;2011-08-06;4c
2011;August32;2011-08-12;4c
2011;August33;2011-08-18;4c
2011;August34;2011-08-24;4c
2011;August35;2011-08-30;4c
2011;September36;2011-09-05;4c
2011;September37;2011-09-11;4c
2011;September37;2011-09-17;4c
2011;September38;2011-09-23;4c
2011;September39;2011-09-29;4c
2010;Januar01;2010-01-08;5a
2010;Januar02;2010-01-14;5a
2010;Januar03;2010-01-20;5a
2010;Januar04;2010-01-26;5a
2010;Februar05;2010-02-01;5a
2010;Februar06;2010-02-07;5a
2010;Februar06;2010-02-13;5a
2010;Februar07;2010-02-19;5a
2010;Februar08;2010-02-25;5a
2010;März09;2010-03-03;5a
2010;März10;2010-03-09;5a
2010;März11;2010-03-15;5a
2010;März12;2010-03-21;5a
2010;März12;2010-03-27;5a
2010;April13;2010-04-02;5a
2010;April14;2010-04-08;5b
2010;April15;2010-04-14;5b
2010;April16;2010-04-20;5b
2010;April17;2010-04-26;5b
2010;Mai18;2010-05-02;5b
2010;Mai18;2010-05-08;5b
2010;Mai19;2010-05-14;5b
2010;Mai20;2010-05-20;5b
2010;Mai21;2010-05-26;5b
2010;Juni22;2010-06-01;5b
2010;Juni23;2010-06-07;5b
2010;Juni24;2010-06-13;5b
2010;Juni24;2010-06-19;5b
2010;Juni25;2010-06-25;5b
2010;Juli26;2010-07-01;5b
2010;Juli27;2010-07-07;5c
2010;Juli28;2010-07-13;5c
2010;Juli29;2010-07-19;5c
2010;Juli30;2010-07-25;5c
2010;Juli30;2010-07-31;5c
2010;August31;2010-08-06;5c
2010;August32;2010-08-12;5c
2010;August33;2010-08-18;5c
2010;August34;2010-08-24;5c
2010;August35;2010-08-30;5c
2010;September36;2010-09-05;5c
2010;September36;2010-09-11;5c
2010;September37;2010-09-17;5c
2010;September38;2010-09-23;5c
2010;September39;2010-09-29;5c
2009;Januar01;2009-01-08;6a
2009;Januar02;2009-01-14;6a
2009;Januar03;2009-01-20;6a
2009;Januar04;2009-01-26;6a
2009;Februar05;2009-02-01;6a
2009;Februar05;2009-02-07;6a
2009;Februar06;2009-02-13;6a
2009;Februar07;2009-02-19;6a
2009;Februar08;2009-02-25;6a
2009;März09;2009-03-03;6a
2009;März10;2009-03-09;6a
2009;März11;2009-03-15;6a
2009;März11;2009-03-21;6a
2009;März12;2009-03-27;6a
2009;April13;2009-04-02;6a
2009;April14;2009-04-08;6b
2009;April15;2009-04-14;6b
2009;April16;2009-04-20;6b
2009;April17;2009-04-26;6b
2009;Mai17;2009-05-02;6b
2009;Mai18;2009-05-08;6b
2009;Mai19;2009-05-14;6b
2009;Mai20;2009-05-20;6b
2009;Mai21;2009-05-26;6b
2009;Juni22;2009-06-01;6b
2009;Juni23;2009-06-07;6b
2009;Juni23;2009-06-13;6b
2009;Juni24;2009-06-19;6b
2009;Juni25;2009-06-25;6b
2009;Juli26;2009-07-01;6b
2009;Juli27;2009-07-07;6c
2009;Juli28;2009-07-13;6c
2009;Juli29;2009-07-19;6c
2009;Juli29;2009-07-25;6c
2009;Juli30;2009-07-31;6c
2009;August31;2009-08-06;6c
2009;August32;2009-08-12;6c
2009;August33;2009-08-18;6c
2009;August34;2009-08-24;6c
2009;August35;2009-08-30;6c
2009;September35;2009-09-05;6c
2009;September36;2009-09-11;6c
2009;September37;2009-09-17;6c
2009;September38;2009-09-23;6c
2009;September39;2009-09-29;6c
2008;Januar01;2008-01-09;7a
2008;Januar02;2008-01-15;7a
2008;Januar03;2008-01-21;7a
2008;Januar04;2008-01-27;7a
2008;Februar04;2008-02-02;7a
2008;Februar05;2008-02-08;7a
2008;Februar06;2008-02-14;7a
2008;Februar07;2008-02-20;7a
2008;Februar08;2008-02-26;7a
2008;März09;2008-03-03;7a
2008;März10;2008-03-09;7a
2008;März10;2008-03-15;7a
2008;März11;2008-03-21;7a
2008;März12;2008-03-27;7a
2008;April13;2008-04-02;7a
2008;April14;2008-04-08;7b
2008;April15;2008-04-14;7b
2008;April16;2008-04-20;7b
2008;April16;2008-04-26;7b
2008;Mai17;2008-05-02;7b
2008;Mai18;2008-05-08;7b
2008;Mai19;2008-05-14;7b
2008;Mai20;2008-05-20;7b
2008;Mai21;2008-05-26;7b
2008;Juni22;2008-06-01;7b
2008;Juni22;2008-06-07;7b
2008;Juni23;2008-06-13;7b
2008;Juni24;2008-06-19;7b
2008;Juni25;2008-06-25;7b
2008;Juli26;2008-07-01;7b
2008;Juli27;2008-07-07;7c
2008;Juli28;2008-07-13;7c
2008;Juli28;2008-07-19;7c
2008;Juli29;2008-07-25;7c
2008;Juli30;2008-07-31;7c
2008;August31;2008-08-06;7c
2008;August32;2008-08-12;7c
2008;August33;2008-08-18;7c
2008;August34;2008-08-24;7c
2008;August34;2008-08-30;7c
2008;September35;2008-09-05;7c
2008;September36;2008-09-11;7c
2008;September37;2008-09-17;7c
2008;September38;2008-09-23;7c
2008;September39;2008-09-29;7c
2007;Januar01;2007-01-09;8a
2007;Januar02;2007-01-15;8a
2007;Januar03;2007-01-21;8a
2007;Januar03;2007-01-27;8a
2007;Februar04;2007-02-02;8a
2007;Februar05;2007-02-08;8a
2007;Februar06;2007-02-14;8a
2007;Februar07;2007-02-20;8a
2007;Februar08;2007-02-26;8a
2007;März09;2007-03-04;8a
2007;März09;2007-03-10;8a
2007;März10;2007-03-16;8a
2007;März11;2007-03-22;8a
2007;März12;2007-03-28;8a
2007;April13;2007-04-03;8a
2007;April14;2007-04-09;8b
2007;April15;2007-04-15;8b
2007;April15;2007-04-21;8b
2007;April16;2007-04-27;8b
2007;Mai17;2007-05-03;8b
2007;Mai18;2007-05-09;8b
2007;Mai19;2007-05-15;8b
2007;Mai20;2007-05-21;8b
2007;Mai21;2007-05-27;8b
2007;Juni21;2007-06-02;8b
2007;Juni22;2007-06-08;8b
2007;Juni23;2007-06-14;8b
2007;Juni24;2007-06-20;8b
2007;Juni25;2007-06-26;8b
2007;Juli26;2007-07-02;8b
2007;Juli27;2007-07-08;8c
2007;Juli27;2007-07-14;8c
2007;Juli28;2007-07-20;8c
2007;Juli29;2007-07-26;8c
2007;August30;2007-08-01;8c
2007;August31;2007-08-07;8c
2007;August32;2007-08-13;8c
2007;August33;2007-08-19;8c
2007;August33;2007-08-25;8c
2007;August34;2007-08-31;8c
2007;September35;2007-09-06;8c
2007;September36;2007-09-12;8c
2007;September37;2007-09-18;8c
2007;September38;2007-09-24;8c
2007;September39;2007-09-30;8c
